c this is a generated file
p cnf 4400 20000
-3923 727 -3832 -901 0
-4338 589 -3196 -3887 0
710 -3183 -2950 -1855 0
-575 -1478 -3506 3681 0
4009 -2076 -661 -717 0
-1224 3749 1073 1798 0
-3383 4267 -3604 4226 0
12 -426 -141 -1142 0
-12 766 -2617 3234 0
-19 -2640 1083 -656 0
2423 688 -3069 -3844 0
-2946 405 -1424 -3998 0
-2025 3759 332 -423 0
275 2110 -184 -121 0
-214 3069 715 -1073 0
2584 4137 3786 3045 0
2711 -623 972 -1311 0
1042 2891 32 1802 0
502 -2321 3518 -395 0
-359 2124 1861 3734 0
284 4172 1367 4227 0
2381 596 1239 -941 0
-209 1844 -2720 3337 0
-335 1385 2257 773 0
-3239 -63 -2940 4026 0
-3983 3403 -583 -2814 0
-2913 -3533 1725 -3564 0
2261 626 -2781 992 0
-381 -2797 -792 -1317 0
-1752 -3011 2146 -3327 0
-2747 1359 3384 -1870 0
-1069 1714 259 3617 0
-2933 -3305 -3403 233 0
-2216 -3758 -3904 -3347 0
-2850 2890 2509 -829 0
-1299 3096 -650 -4329 0
-2411 3200 -860 -2829 0
1618 3586 1963 4224 0
-2910 2665 -2528 3331 0
1984 4072 28 2508 0
-2468 -1310 4229 -2438 0
257 2956 -2169 4186 0
3334 -130 1064 2172 0
-4208 -259 1488 3707 0
-1437 1894 3194 626 0
3282 -733 -962 -4220 0
-880 2309 1660 1828 0
-1636 -757 -4391 3541 0
-2525 -2881 2356 2265 0
-3711 1923 2499 3738 0
-2525 -3707 1209 -878 0
-3880 -663 -2805 -2076 0
-3925 1715 1276 327 0
-1929 1095 -3156 304 0
3659 1478 2797 1850 0
1939 1756 3477 1821 0
2307 2214 -634 -3938 0
-2586 905 -1084 -4156 0
3569 -3989 -2884 -4303 0
1176 -1100 1975 -1080 0
556 1754 -1916 2069 0
-4388 -4084 -1167 -4302 0
518 3671 4066 -1307 0
-1502 -2769 -189 -2999 0
3062 -2381 385 -3160 0
3558 4301 3679 -3580 0
-1077 2276 4210 292 0
-2201 56 -813 -1922 0
13 4386 1939 -384 0
-3164 -3400 3417 -515 0
3555 1554 2590 -2205 0
-2586 1563 863 -3780 0
-4272 1287 188 1336 0
-4259 -1138 2758 376 0
1826 4255 2963 947 0
415 -2984 2749 4196 0
-2872 -1600 -402 -528 0
-12 1685 -4198 -2195 0
506 -1201 116 4063 0
193 935 1025 2975 0
-2172 -1139 1127 -1003 0
-946 3855 -1664 -3003 0
-945 -1080 -2887 -4283 0
138 -3477 2381 2715 0
2563 -1133 1476 -1455 0
3485 -1739 536 -4057 0
-2815 -1450 -1359 3615 0
-2062 3905 1993 -968 0
-3647 757 1995 -1367 0
1940 538 -636 -960 0
-2231 3647 3892 -3350 0
4285 -876 -1926 238 0
2193 -410 -530 -3188 0
-500 939 -1445 -860 0
2107 -1484 -4316 -562 0
-2313 4309 -2947 3045 0
-3190 -3735 270 -340 0
147 -2731 1233 -3060 0
-214 -3591 -608 3130 0
2100 1899 4029 689 0
-3274 3671 129 3234 0
-329 -2594 -224 -4169 0
-3014 -807 -80 -3397 0
-2926 -3408 -3615 1846 0
414 -3051 -4087 -1206 0
-2339 -2876 904 162 0
-3050 -1279 -793 -1630 0
912 -3055 -2325 -907 0
3708 -4135 -3075 -3431 0
4115 3075 3062 2986 0
404 -3707 1043 368 0
680 -4191 -2472 -2610 0
477 1956 -340 3557 0
40 -774 1673 3352 0
1732 -1438 -2225 1615 0
-958 4239 -3977 -1965 0
-4120 557 -2699 2671 0
-3783 -431 1086 2816 0
-1719 3698 527 76 0
-848 4109 -4068 -1661 0
2636 -3975 14 3528 0
1110 -1992 -18 1094 0
-1236 -4106 3689 -2498 0
-354 3437 2091 1060 0
3571 -2718 2224 -3428 0
-4171 -1440 -2691 3340 0
-721 -4243 -3411 4149 0
3171 1088 2805 2487 0
3407 -3199 252 -1346 0
2364 4107 4007 2338 0
-4040 -3243 -3345 -1504 0
1517 1818 -2845 3228 0
3711 -1125 -1080 -608 0
1421 -387 2751 2073 0
1903 -3298 384 1447 0
4060 -4400 2118 -1102 0
2849 -2522 2867 2360 0
-3081 3192 1343 1293 0
1951 -3333 4135 -3986 0
-693 -2773 4365 -1072 0
2526 2152 -3503 -1138 0
-1399 -1987 -1542 1287 0
3413 2524 -1770 1782 0
1421 3572 1150 -4029 0
-2899 3820 -545 -3207 0
1279 -3557 -3939 4375 0
-3393 -990 2499 -3462 0
3248 1317 2052 2500 0
-819 -877 2527 -1804 0
-3718 2252 2419 2900 0
-3640 -467 2469 -2624 0
631 -1926 -3377 1356 0
-1207 -4017 991 -918 0
1727 -2804 950 -3160 0
2467 1843 -114 -2173 0
-2937 537 -3863 -3737 0
-742 1591 4212 2084 0
2411 3959 -436 1262 0
2788 3104 478 -3149 0
2750 807 1942 -1820 0
3201 3456 -4388 1946 0
-811 -1133 -737 298 0
-2340 2847 316 -3168 0
-3588 2882 382 -1968 0
-2800 3389 -1486 -2168 0
3931 3792 -1044 -1864 0
1758 -2441 1865 -3492 0
-1088 3914 304 2744 0
2053 -3209 1923 -1033 0
-159 2089 397 3491 0
-3767 -843 -4334 4156 0
2863 1921 2986 -2805 0
1626 -1114 -3179 2609 0
-2561 -2057 -382 -1162 0
-865 4126 208 3836 0
-365 -4034 -478 4041 0
-3849 -3993 3781 855 0
4054 2517 -904 -1979 0
-1817 -1031 -1360 816 0
2949 -4353 -1031 2595 0
-3679 -562 2052 103 0
2209 3138 -581 75 0
-2619 3325 -3477 -1026 0
-1625 1120 298 -2428 0
3589 -2451 3401 639 0
-2925 -3542 3344 -3165 0
3221 3687 1011 3314 0
-2487 -4176 1859 3025 0
-2494 571 2525 1822 0
-2510 3262 4338 670 0
265 -1842 -424 2128 0
3113 -3308 -69 -141 0
-3896 3116 -4124 2403 0
-4342 2882 2501 -2778 0
-178 2960 1430 2747 0
3198 -475 1358 165 0
-11 -2517 3116 691 0
2089 3647 -1435 3387 0
4125 4286 -234 667 0
4291 3759 -1538 -4184 0
1715 -770 -681 1966 0
-1344 2382 -2740 -2621 0
144 449 3039 818 0
152 -4280 -2559 -1749 0
-292 -1212 -406 2905 0
-2158 -1889 -1084 -2704 0
948 222 4060 1083 0
53 -4279 1555 -81 0
-589 486 1939 1647 0
2883 281 1230 -1486 0
500 -882 -4080 2424 0
-485 -2721 -4223 -4213 0
-477 -1781 3091 1578 0
-2898 544 -1319 -3256 0
3189 -3117 -1270 1858 0
-472 -1157 -89 2198 0
-1274 -266 1654 1668 0
-4286 1609 -1338 -369 0
-3448 -2568 -903 -2603 0
2398 -1490 1853 3608 0
2813 2880 -1352 -2085 0
2658 881 495 -3925 0
3391 1239 2715 -2342 0
3080 -455 -1229 -1668 0
-819 -3382 -4007 -414 0
2221 1976 1172 -376 0
1329 -1135 1031 -2110 0
-3559 3869 1370 1276 0
-812 -2784 -236 -4120 0
3023 -4363 2433 2984 0
851 3571 826 -2263 0
848 3962 -1423 -554 0
3038 168 -1880 3133 0
-1169 -4116 -2114 3839 0
-3214 -3047 -31 2272 0
-1974 1063 -2495 4299 0
-1307 -4079 -380 -3501 0
-249 -726 2050 2805 0
-376 1467 1414 3358 0
-16 -2137 840 2251 0
3459 -1056 3597 -166 0
2503 -3274 759 1930 0
-3543 -375 -970 -3810 0
-783 -3057 2324 -735 0
2614 -2260 -2100 -2598 0
3762 -3658 349 2819 0
-3898 853 74 -1211 0
-280 -3516 2280 -1825 0
489 -4138 -199 -3409 0
3495 -281 -1722 2024 0
3419 -3498 931 2061 0
2950 1867 2215 -2757 0
3145 534 1703 -3246 0
1706 -3620 3769 2184 0
-4026 1971 -996 -329 0
-393 1499 649 -2822 0
-3279 1291 3245 2943 0
-3892 4039 2615 -424 0
-1099 -1525 1873 -4126 0
-3346 1102 -1507 2457 0
-525 -1649 39 -3445 0
-2435 3830 -1690 -79 0
1720 4041 35 -1368 0
-1443 -3485 1799 286 0
-3653 304 -2317 3893 0
-1371 -1150 -2815 1414 0
-3617 -2648 757 3330 0
4302 -2474 24 3717 0
2540 -2195 -2095 -2676 0
3857 592 -4336 2695 0
3377 816 -2172 1761 0
778 3435 -1881 -4021 0
-908 3037 366 -3656 0
4364 2409 -470 -2169 0
-4186 2878 -578 -660 0
-2717 2903 -4040 1906 0
3419 1461 -1115 -622 0
1102 -2087 2102 3548 0
2196 -1027 3082 1544 0
-1910 -4386 270 2173 0
-2904 -3527 3884 -2348 0
-727 2232 -3604 1871 0
-1889 1718 -2020 1017 0
-30 -2557 -1492 -85 0
3072 -2541 861 -1846 0
-2848 2921 1609 -2149 0
-1874 -277 -686 -1468 0
303 -2117 -1703 2849 0
-1844 167 4069 3280 0
-718 2553 3633 185 0
2247 676 1169 -2423 0
-1381 2558 1048 1689 0
518 2800 -4041 658 0
-41 -4097 -2089 2682 0
-3845 -148 -104 -3001 0
-4271 -3465 -36 273 0
110 3248 1022 3070 0
-2692 -3900 559 2719 0
-1560 76 3709 2882 0
-1185 797 913 3892 0
2441 1159 369 3906 0
4385 -385 3170 -3375 0
-3969 -3391 -41 1089 0
2944 1737 -4309 3882 0
-345 3017 4184 1797 0
2438 396 -2595 -3587 0
3321 2305 1484 2491 0
320 2790 1111 -1299 0
2813 -998 4018 662 0
-767 -3615 1775 350 0
1396 2588 1827 -2201 0
971 -1859 2925 1398 0
-1257 2736 -2321 1800 0
3506 332 1275 -866 0
4198 1272 -2185 702 0
3636 -1755 -2542 231 0
18 -88 -2394 -4308 0
-13 -4205 -3718 2272 0
3695 -569 -751 -2829 0
807 2195 -1478 -944 0
518 -2445 -610 1264 0
3949 -2234 1127 2121 0
-1787 1629 3007 559 0
-3217 -837 1665 -1920 0
-3089 -1358 1349 -2399 0
-2960 623 -4139 -2603 0
2785 4119 774 3010 0
2705 1007 898 3169 0
1300 840 3875 -3564 0
1100 -2644 -3774 -3762 0
4204 -756 -922 3118 0
-2358 -2762 -3865 1372 0
339 2431 3196 -3963 0
3997 -1711 -668 -1958 0
1457 -2860 -694 -3948 0
1062 1894 -3179 -3048 0
-1212 1663 -677 -3246 0
-3993 -2868 886 1320 0
1652 2713 -310 287 0
-277 1948 -3247 66 0
-3480 3375 3356 -2954 0
2065 -994 2155 839 0
-2608 -327 241 3077 0
2398 -1102 -1476 2815 0
-2335 1238 211 -1449 0
-3282 -263 3329 1307 0
-2733 -2007 1574 -3608 0
-1885 969 142 -648 0
3871 3407 2327 1083 0
382 2032 1550 -3151 0
-3214 1990 587 -687 0
3613 1189 3042 2348 0
-4167 -2558 1779 4217 0
-3052 -280 -1429 -3181 0
-1151 3145 -3157 -97 0
1131 -2164 -4247 3311 0
-3782 4307 324 -1221 0
2826 227 1786 -860 0
3359 -4194 165 2267 0
3296 -1699 -2364 -2370 0
4190 -2276 2090 846 0
2495 -1500 -1115 3482 0
-3222 -795 955 -2635 0
-1274 1233 1600 127 0
-1648 -3777 488 2329 0
-1926 1665 2978 2849 0
3741 -2588 491 -59 0
1718 -4249 2388 3044 0
-1765 -2000 2743 -1703 0
-1591 -954 -2865 -10 0
2542 -1870 -3296 373 0
-547 3236 -3223 -1455 0
-2671 -2148 3820 2776 0
-2358 -2509 2220 610 0
2911 3736 -2819 -1162 0
-2900 -555 -2643 -3843 0
1945 -1062 -3691 -2453 0
473 -438 3705 3585 0
2742 -2972 2179 -3467 0
-2672 -2286 -989 544 0
738 -461 -2737 -2150 0
4013 -2969 -2978 4069 0
3038 -3640 -2079 -1834 0
3545 -3990 -1229 2425 0
1036 1919 -552 -2571 0
62 2700 3017 1586 0
-292 3853 -1169 1282 0
1883 2033 114 2163 0
2094 -3301 -16 123 0
-3954 -1181 -2160 -1358 0
-3797 -4073 2163 -3 0
-2129 611 4025 -2108 0
1402 -2676 1995 -3064 0
3224 -1989 215 2952 0
818 -4330 17 2610 0
4093 1840 -1491 -1456 0
3746 2118 -2187 993 0
212 3829 2531 3276 0
-1651 -999 -343 -2461 0
-3014 -2006 2513 -3671 0
4104 2589 1397 849 0
819 3494 -4114 -2326 0
-190 2467 483 3375 0
1073 852 -1905 3383 0
4022 -655 -866 3520 0
-4066 -437 -872 7 0
-597 1434 -1618 1988 0
1072 2548 -3080 -3815 0
1585 -1099 -2643 -2414 0
-4163 -1901 -2321 4013 0
-2685 -374 184 -4002 0
3236 -3783 4078 -1150 0
-2051 -343 -1341 1102 0
2348 -3012 -3261 3892 0
-2767 -3270 -817 -885 0
1000 -3967 2597 3591 0
2249 -2489 -1199 -629 0
-614 210 -2131 -1842 0
332 1277 2477 -4168 0
-1792 -3658 -2368 3756 0
-836 3901 1587 -3745 0
-3986 -4168 252 -1062 0
-3809 -38 3628 1924 0
1001 1519 1930 -3101 0
-1411 3216 1732 -2048 0
4240 4244 426 -359 0
-3252 -3244 -3361 -2091 0
1012 1597 3882 -3055 0
-2975 2338 -1682 -2998 0
2108 3408 1816 -1611 0
933 -209 1623 -193 0
2803 1783 1963 -1210 0
-690 734 -1995 -352 0
1056 3884 -3206 569 0
-4110 171 -2182 4134 0
-3817 -1961 -1757 4083 0
-1871 -1924 2440 -2618 0
2581 1474 -2579 1751 0
1983 -2711 -2526 -3920 0
528 2152 1837 3091 0
-2300 -1215 669 -1616 0
-3446 45 -3194 -595 0
2010 43 -377 -2809 0
149 -133 717 3218 0
4015 -3095 2026 3714 0
633 -3024 3178 2812 0
3902 401 1987 3656 0
82 -2259 -1854 2035 0
-1647 -1592 -340 -2055 0
2583 -4147 852 -781 0
3088 -3389 2735 -449 0
2998 2312 4358 1436 0
-1619 -4346 -285 2775 0
669 -3855 -1604 4185 0
-865 -339 2559 2490 0
1533 -382 162 -1803 0
-714 -247 1092 -1024 0
-4184 -4050 1997 -2266 0
1359 -1885 119 1686 0
332 65 53 -3091 0
281 -3637 4084 -4177 0
3238 -3485 631 1530 0
-1887 -2578 665 3826 0
1491 -2894 3302 3799 0
1017 -1174 -435 -867 0
1611 -788 -3813 -3531 0
-2413 3327 1084 -2669 0
-537 -3165 2656 3791 0
1833 -1015 -1079 1809 0
2880 787 4095 2545 0
-3408 -3894 4069 2072 0
378 -3622 2102 -4136 0
-1471 3619 2356 -368 0
-1316 4255 -34 -4103 0
854 3307 4307 -225 0
-934 3356 2530 1621 0
-2504 596 4117 -3978 0
-1921 2032 -492 949 0
3071 -2297 1967 -129 0
-1140 -2532 -2383 -1658 0
4011 239 1630 -247 0
3592 -3299 3924 -1095 0
873 2741 170 -1815 0
-1449 -2948 661 2159 0
-3082 -2462 3713 -2153 0
506 2928 959 3957 0
462 -3433 -1518 3110 0
1249 -4398 264 2904 0
-2264 3840 2387 -3334 0
-376 -3408 -4015 -2001 0
-1318 -2453 66 2610 0
-1808 3357 -4110 -703 0
1883 3836 -974 -3144 0
3389 -92 3475 -2673 0
-3198 -447 316 -1494 0
1897 2397 871 2205 0
2520 1051 1670 3856 0
2513 -2034 -2808 -2621 0
2882 2248 -3612 344 0
1833 2048 3528 3589 0
-1946 -2617 -3765 2302 0
-2876 -4094 -168 685 0
3714 -2983 3024 2085 0
3600 1081 -2554 1950 0
-4100 -1212 -2831 -262 0
4233 -3863 -2018 1081 0
3770 1930 632 -1264 0
3730 -1834 -1450 -907 0
-418 -1010 -1458 3345 0
-644 2050 2619 1358 0
-322 243 -2350 266 0
745 -560 -2316 -1623 0
1510 -49 -101 -3996 0
-2761 634 -3732 3176 0
-3095 252 1974 3266 0
3559 -4016 -4046 3872 0
2025 2483 3585 -677 0
-3690 16 1993 -3708 0
-897 1580 2763 4058 0
2175 266 -1596 -2308 0
3608 -4275 -3879 -2513 0
-3472 4384 3443 -4201 0
143 425 -448 3753 0
1145 952 -2166 612 0
617 -292 257 3246 0
1601 3179 81 -2952 0
-1341 -544 2673 3024 0
3809 2867 297 -224 0
2674 124 -2642 2966 0
1207 -1999 -2782 1243 0
-1566 -3495 -3236 -1288 0
227 1321 1622 834 0
346 2032 -1312 4298 0
-3251 1305 -1466 -310 0
-1648 3170 -1422 974 0
2034 -4292 1797 -3501 0
-4321 -3408 3567 -1962 0
-3356 590 1052 -1903 0
1177 1571 -2245 -1323 0
-4153 2461 1356 3027 0
1060 -2256 -2322 -1509 0
-3510 -515 843 -2984 0
4195 3666 -1703 133 0
-808 -2365 1631 -529 0
597 115 -2793 -1561 0
-1090 2444 -675 1002 0
-1592 -648 -708 2397 0
3672 -576 -2978 -4378 0
2688 -3953 1540 -4227 0
1183 3531 86 92 0
-1192 -1167 2312 790 0
463 3845 510 2966 0
3333 -1821 1581 760 0
-1321 -1120 2551 -205 0
-1410 1521 3328 3728 0
815 873 -2687 -27 0
2067 2252 2395 -3716 0
1579 -4064 979 2823 0
-2934 -2016 -3838 -1903 0
-1847 2899 -2550 2548 0
3435 -1744 -3313 -2425 0
2704 -2092 2622 306 0
4349 1000 -572 -432 0
2577 2636 -2708 4202 0
-1753 -2664 -4184 1619 0
-2136 3125 2755 -1962 0
-3842 -347 1238 802 0
1579 1708 2175 -566 0
-2265 -428 -1645 3329 0
2342 1124 -2388 233 0
-1039 749 -2189 -4109 0
-288 -85 -3415 259 0
-1625 -2668 -313 -3251 0
-3993 -1130 3627 -2936 0
3512 1475 -2670 -3852 0
2347 3025 1175 -3629 0
3031 409 -1250 -1258 0
378 -2737 -367 2697 0
-1270 -2006 -2532 4249 0
-273 3681 -591 -3199 0
-2043 499 -580 3331 0
-3299 -1813 -1231 2537 0
-2368 2470 -1530 1612 0
-4371 -1970 282 4392 0
2253 -4385 -1905 -4316 0
205 -1458 -2449 -572 0
2870 4177 -1307 1662 0
-1023 3012 -1663 1488 0
3114 -1132 2385 96 0
-1647 2816 -1322 1248 0
-4034 -241 3062 1627 0
2540 -1071 -3935 4170 0
-4059 896 1759 -2114 0
-3592 -1078 2509 -1002 0
-2034 -3060 -479 -969 0
-2397 -4174 492 2897 0
1894 2457 219 -503 0
4013 3256 1586 4300 0
110 -2998 2979 3549 0
-1801 -938 2288 2484 0
1116 2622 -1144 532 0
398 2102 938 -175 0
2742 3111 -533 -547 0
3472 2290 -2337 -1337 0
-4202 508 171 -1319 0
-817 -202 63 -3296 0
3354 3562 2441 -461 0
-2496 -2233 -4231 3257 0
1053 1034 -4049 2260 0
-3489 -887 -2213 -3983 0
2959 3362 -3846 -2453 0
2951 -1722 -998 -2425 0
689 -1091 132 2410 0
-4363 3422 3149 3268 0
3940 194 -2649 -2510 0
-1354 193 1579 3303 0
-419 2395 -2382 -749 0
4102 -1897 2622 1172 0
2666 2485 -3838 1490 0
2733 502 -2219 3768 0
-2691 4128 526 323 0
-1897 2542 -4356 -4269 0
-3645 3934 3164 -2099 0
-3709 3347 1165 -3812 0
1907 1675 1702 704 0
-3064 -2682 93 -2245 0
1711 -508 -4320 -1710 0
870 -3558 -847 3383 0
-4216 -2039 188 1542 0
-2281 993 -2391 -940 0
-3186 1839 3489 1356 0
-1404 -3447 2624 -4400 0
2362 -3638 -2113 679 0
3912 -884 -1954 1427 0
228 -3405 3232 -2874 0
-2083 -2202 -1392 -2410 0
-3410 631 3229 2906 0
-2437 1418 -2368 -1661 0
3263 -681 -3496 -3262 0
1148 -2079 1350 3359 0
-2167 3065 2851 2429 0
-3290 3523 1673 -2420 0
945 3662 1393 -2967 0
2936 3128 -3109 2433 0
3941 -1168 3901 -650 0
-132 -1333 3380 3998 0
-1441 239 1375 3807 0
-2567 -1185 3934 -3149 0
605 -3301 -37 4189 0
3829 -358 -3511 -1309 0
-159 3849 2683 728 0
1422 4386 -1310 -4018 0
1101 3697 3730 347 0
1413 4349 -2585 -2552 0
4351 3040 954 -1363 0
1397 608 977 1872 0
-3737 3563 4231 -1061 0
1955 3472 3995 -1230 0
-1941 1321 -777 517 0
360 3057 -3403 -3377 0
474 -1604 100 -4101 0
534 957 3336 -3804 0
-1886 -2093 -1297 -1919 0
651 -3814 -2926 1321 0
1344 3296 -2002 368 0
395 -2220 2871 269 0
2118 -2011 4388 1131 0
4136 1157 -998 811 0
-1618 1608 -307 3146 0
4285 -528 972 1589 0
3636 359 964 -4286 0
-680 4009 2193 1690 0
-2103 -1326 2715 1975 0
1962 2220 -3294 -4073 0
35 -2137 -3354 -806 0
-3175 11 -4127 451 0
2147 -585 1881 -4321 0
-2639 -3083 -596 -4070 0
-4125 1976 -1613 3982 0
-4040 2382 2168 791 0
-1582 1374 -2826 3259 0
-4389 1782 -88 -4318 0
-2740 -2593 1811 3686 0
3275 1009 -899 2541 0
967 -1136 2081 2417 0
-2576 1737 -411 1384 0
-1728 -2996 3400 -3887 0
3827 1266 4136 -1031 0
1808 2485 -388 1544 0
1839 -3081 -3 -422 0
-1368 3474 2013 1776 0
-2298 -2505 -2967 -3645 0
3184 2447 3116 -4305 0
-955 -2267 -2464 -3357 0
-1563 1600 1817 1370 0
2539 1152 -2247 -2942 0
-2460 3907 -1620 3776 0
3257 -4158 -3492 -1672 0
-2525 -1781 -2771 -2430 0
-390 1952 3410 3394 0
-1995 -2128 368 -3905 0
1843 1636 3830 -3270 0
4342 -3577 -1984 4275 0
-2891 2785 -3734 3519 0
-3740 -107 -3829 -3637 0
4033 973 1721 170 0
-3641 2037 -2573 -2749 0
4367 1813 -2559 -3032 0
-2665 3388 1838 -2187 0
-1063 -2765 -3082 -3130 0
1115 89 3186 2388 0
-1609 -2810 2803 2454 0
-2902 3464 1483 -3394 0
3634 -4240 2994 2818 0
37 3608 1909 2162 0
3321 2600 1788 -3437 0
53 -200 2204 -2159 0
-3571 278 -3319 -1552 0
-3533 537 2963 -1603 0
-3377 1439 -3339 2055 0
214 -4262 3937 -3355 0
-961 2342 -2307 -2349 0
1417 -4074 2537 -3946 0
629 1523 605 1353 0
4232 2150 930 2358 0
-2892 1366 1515 2976 0
-3344 -4032 -3405 -156 0
-4211 -2631 -2991 2903 0
3332 -1022 4195 -528 0
3566 1830 3876 1087 0
-114 1666 -2045 -1231 0
-1225 -743 -3843 2105 0
-3621 625 -2695 688 0
633 3608 -1320 1111 0
2419 -2238 3111 -3761 0
-2532 3927 -1052 -3999 0
219 3937 -2495 728 0
3645 -1355 -1892 -2676 0
1397 -3045 -1202 -2499 0
3038 -1773 2223 2693 0
-3315 -1041 -1032 2636 0
4325 3459 2771 -4387 0
2579 -868 -3749 1662 0
-2864 1929 -160 -3464 0
-4391 4107 -2226 2112 0
3619 230 -3621 4065 0
-1190 -1437 -2779 -2047 0
-260 -69 3501 1696 0
-3687 2534 -1072 3944 0
-3293 -1753 -1528 -2977 0
-1815 -2873 3384 3372 0
38 4196 -2719 3570 0
942 912 -2342 -195 0
-705 2375 2869 1134 0
-1091 -113 2106 3382 0
4398 -1696 -2219 -3827 0
399 -4092 3361 1625 0
3878 3271 -198 -799 0
-86 2316 4258 -2256 0
-1214 4350 1008 -3031 0
107 3782 -726 4125 0
-1840 4144 -3669 -2401 0
402 3762 1458 -120 0
1909 1672 3357 -490 0
651 4110 11 567 0
948 -2883 1357 1844 0
1754 -1524 -102 -1678 0
-737 -1772 -2657 1142 0
-1207 -288 2761 2034 0
-1897 1542 3050 -2562 0
22 -1586 846 -1901 0
-4145 -2074 -2891 4235 0
-4119 2466 3503 576 0
4393 -2936 -3730 3231 0
-3349 -3686 -982 513 0
-1167 -1330 -2805 -859 0
750 1368 -2396 725 0
-2847 -4204 1629 -43 0
-2227 2014 -3310 -3741 0
-4305 -9 -2607 -4332 0
2356 3996 708 754 0
-304 -49 3702 -1553 0
-2252 -453 2061 -637 0
7 -890 2242 1730 0
4224 -2581 -3951 -4379 0
2938 2956 -3121 -835 0
2951 3534 3234 3059 0
-3822 515 -1875 1124 0
1301 862 -3048 1628 0
2371 482 1865 3588 0
3353 2902 -3296 1927 0
-1886 771 -3835 1607 0
4234 -3455 4377 829 0
1149 -323 1214 -3730 0
-2506 1152 2586 -2353 0
2522 -1539 1010 975 0
3267 2485 3557 -450 0
4054 4336 209 310 0
-4213 1013 4003 826 0
2475 2173 219 1397 0
3746 -1240 -3240 -2405 0
-2504 505 2317 -3241 0
-1383 -717 948 1616 0
3815 3616 -477 3864 0
3829 -190 -1466 2039 0
3732 4165 -329 2706 0
-449 2955 -72 -172 0
-750 -584 2662 3023 0
4065 -451 3057 -52 0
-3451 4383 -509 2024 0
1577 420 1811 -2940 0
-2351 4225 3471 354 0
2950 1385 -3747 2309 0
4140 2400 2123 -1915 0
-3892 474 2978 -3014 0
1463 1391 1339 -432 0
-3567 -401 -3966 -3762 0
-2086 -2961 -3784 -3126 0
4294 -2100 -2539 -2453 0
3619 -1500 -3960 -3910 0
1589 -2838 -1216 536 0
2460 3055 4396 2400 0
1281 -2987 1833 94 0
1358 -3741 -3460 -2365 0
2777 -770 -2467 -1603 0
2400 1826 -2589 1345 0
2036 674 1459 -486 0
-3908 -275 3374 1642 0
-1271 -3190 2556 -2511 0
1349 114 1526 -2320 0
1157 2523 418 2571 0
130 -1166 -2945 -1223 0
-1513 4235 417 -1335 0
586 -603 4230 1866 0
-459 -4067 -2720 -989 0
-1710 -20 -3381 -562 0
1392 -1326 907 3489 0
2129 318 3483 2042 0
3577 98 -116 -2997 0
4038 2279 -846 4195 0
393 -3115 4173 -2982 0
-4091 2847 4154 -4068 0
-1119 822 1175 -500 0
590 -3377 -2242 408 0
-4371 -4026 -1964 2186 0
2440 2837 -119 -2474 0
-2078 -3476 737 -2083 0
1011 -3672 -3428 -2076 0
-2475 1320 338 1152 0
-2503 894 478 -2478 0
1435 1348 3662 -3970 0
-910 4193 -2844 3360 0
-2854 -2313 4044 -3235 0
556 2133 4360 -4004 0
1919 -2555 2642 1842 0
-3589 3009 1020 4111 0
-3688 -892 898 1027 0
-2228 -612 3025 -3839 0
3003 -2806 1118 4007 0
-2685 -3974 -2392 636 0
-1634 -1815 3862 1731 0
-1411 -1567 -1642 -279 0
571 4301 -3915 765 0
-3745 -1032 -3677 1474 0
1351 2522 -350 -343 0
-701 -666 -3481 -2787 0
4370 741 3131 3177 0
-2009 -3128 2236 3684 0
1906 -137 2152 -3263 0
2321 -4173 -15 -2653 0
-1365 -2388 -1331 -2341 0
854 -2676 -4312 -3232 0
3886 -1729 2179 2151 0
270 -3438 3069 -2693 0
-1770 1620 -159 1087 0
-2615 -1384 -2765 3573 0
541 3686 1500 -2813 0
-2147 2868 -2372 -3513 0
2537 -432 3809 2113 0
-64 15 2266 372 0
-2504 -746 3123 4399 0
-3052 1204 2658 3821 0
2147 -4361 2618 897 0
1185 233 3601 -3147 0
-1243 -1279 2642 2579 0
-2541 -2224 -1831 -2906 0
1530 4156 190 3891 0
-2952 1355 344 -4286 0
-2667 3218 316 224 0
-403 -1098 2954 2177 0
-85 4 -2919 2348 0
1694 782 -184 -877 0
2155 -201 1508 1678 0
-365 -4026 -1310 2376 0
-1654 2033 570 -142 0
1534 3808 2920 1728 0
3129 3110 -2777 1498 0
1213 -3412 -2066 -3410 0
3651 3121 1998 -830 0
-4087 4047 -3364 495 0
-2897 185 -3800 -140 0
-2521 -1729 -682 -2766 0
1191 -1362 -1911 -1370 0
3361 -3325 3822 -2478 0
4203 153 147 -1432 0
1381 778 -1203 4261 0
368 -971 -2026 3170 0
2493 -3259 3444 -795 0
2732 -301 3506 -3207 0
-4380 -2743 1895 -3723 0
-3730 -1416 1359 2165 0
-2765 -3589 861 2820 0
1294 -2603 4322 2050 0
-974 -3886 -542 1396 0
452 -3517 -1477 3118 0
3950 1575 2234 -104 0
4083 -3430 3370 316 0
-872 3375 -1405 -902 0
3493 4355 -3274 3399 0
-4334 37 217 -2637 0
-16 -4211 310 -1047 0
-834 -2350 4016 570 0
1025 -908 -2757 -4155 0
3194 -3607 -3944 -3029 0
-558 -3880 1535 -855 0
-4382 -297 2703 2322 0
-1668 2194 2912 10 0
-3303 2733 1800 -3312 0
692 1322 -175 -1731 0
-4309 3533 -3525 1863 0
